Tweet,Time,Link,Media
Dewar is named after Sir James Dewar - British chemist (1842 -1923).,2017-04-05 03:37:45.900000,https://en.wikipedia.org/wiki/James_Dewar,
Day 397.7: Arrived at Stratton,2017-04-05 08:48:32.670000,http://wenamethestars.inkleby.com/feature/5722,http://wenamethestars.inkleby.com/static/moon/1735.png
Day 398.1: Arrived at Ventris,2017-04-05 20:14:53.250000,http://wenamethestars.inkleby.com/feature/6349,http://wenamethestars.inkleby.com/static/moon/1736.png
Ventris is named after Michael George Francis Ventris - British decipherer of Linear B Cretan script (1922 -1956).,2017-04-05 20:15:53.250000,https://en.wikipedia.org/wiki/Michael_Ventris,
Day 398.4: Arrived at Schliemann,2017-04-06 02:52:39.900000,http://wenamethestars.inkleby.com/feature/5372,http://wenamethestars.inkleby.com/static/moon/1737.png
Schliemann is named after Heinrich Schliemann - German archaeologist (1822 -1890).,2017-04-06 02:53:39.900000,https://en.wikipedia.org/wiki/Heinrich_Schliemann,
Day 398.8: Arrived at Chaplygin,2017-04-06 13:04:17.040000,http://wenamethestars.inkleby.com/feature/1143,http://wenamethestars.inkleby.com/static/moon/1738.png
"Chaplygin is named after Sergei Alekseevich Chaplygin - Soviet mathematician, engineer (1869 -1942).",2017-04-06 13:05:17.040000,https://en.wikipedia.org/wiki/Sergey_Chaplygin,
Day 399.1: Arrived at Tamm,2017-04-06 19:50:49.110000,http://wenamethestars.inkleby.com/feature/5846,http://wenamethestars.inkleby.com/static/moon/1739.png
"Tamm is named after Igor Yevgenyevich Tamm - Soviet physicist, Nobel laureate (1895 -1971).",2017-04-06 19:51:49.110000,https://en.wikipedia.org/wiki/Igor_Tamm,
Day 399.2: Arrived at van den Bos,2017-04-06 21:16:17.310000,http://wenamethestars.inkleby.com/feature/6307,http://wenamethestars.inkleby.com/static/moon/1740.png
van den Bos is named after Willem Hendrik Bos - South African astronomer (1896 -1974).,2017-04-06 21:17:17.310000,https://en.wikipedia.org/wiki/Willem_Hendrik_van_den_Bos,
Day 399.3: Arrived at Vil'ev,2017-04-06 23:58:07.410000,http://wenamethestars.inkleby.com/feature/6390,http://wenamethestars.inkleby.com/static/moon/1741.png
Day 399.8: Arrived at Glazenap,2017-04-07 12:42:08.280000,http://wenamethestars.inkleby.com/feature/2186,http://wenamethestars.inkleby.com/static/moon/1742.png
Day 400.1: Arrived at Pannekoek,2017-04-07 18:36:09.270000,http://wenamethestars.inkleby.com/feature/4580,http://wenamethestars.inkleby.com/static/moon/1743.png
Pannekoek is named after Antonie Pannekoek - Dutch astronomer (1873 -1960).,2017-04-07 18:37:09.270000,https://en.wikipedia.org/wiki/Antonie_Pannekoek,
